ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID	FORM	ALIGNMENT
3612	Arabic	middle of chest, chest, breastbone, etc.	ḥammāmat-	ħ a m m aː m a t	(BK 1 487)	1753	ħammaːmat-	^ ħ a m m aː m a t - $
3613	PS	to insult	*pry	p r y	(EDA I 228)	1754	pry	^ p r y $
3614	Akkadian	to insult	parû	p a r û	(CAD P 209, AHw 837)	1754	parû	^ p a r û $
3615	Arabic	IV. to blame, to censure	fry	f r y	(Lane 2391)	1754	fry	^ f r y $
3616	PS	to be red-hot	*plḥ	p l ħ	(EDA I 222)	1756	plħ	^ p l ħ $
3617	Akkadian	to be red	pelû	p e l û	(CAD P 321, AHw 854)	1756	pelû	^ p e l û $
3618	Geez	to bubble up, to boil; to be effervescent, to flare up	falḥa	f a l ħ a	(CDG 159)	1756	falħa	^ f a l ħ a $
3619	PS	kind of insect	*kʷaraz-, karaʒ-	kʷ a r a z	(SED II No. 119)	1757	kʷaraz-	^ kʷ a r a z - $
3620	Geez	ant	kʷarāzi	kʷ a r aː z i	(CDG 295)	1757	kʷaraːzi	^ kʷ a r aː z i $
3621	PS	a (mythical) aquatic reptile	*kVS-	k	(SED II No. 120)	1758	k---	^ k - - - $
3622	Akkadian	an aquatic animal	kušû	k u ʃ û	(CAD K 602, AHw. 517)	1758	kuʃû	^ k u ʃ û $
3623	Geez	serpent, dragon	kaysi	k a y s i	(CDG 301, LLA 870, SLLA 268)	1758	kaysi	^ k a y s i $
3624	PS	(feminine) genital organ, uterus	*ḥann(-at)-	ħ a n n	(SED I No. 123)	1759	ħann-	^ ħ a n n - $
3625	Syriac	sinus; penis; cunnus, vagina	ḥannā	ħ a n n aː	(LSyr. 242)	1759	ħannaː	^ ħ a n n aː $
3626	Syriac	uterus	ḥannūtā	ħ a n n uː t aː	(LSyr. 242)	1759	ħannuːtaː	^ ħ a n n uː t aː $
3627	Arabic	woman, wife	ḥannat-	ħ a n n a t	(BK 1499)	1759	ħannat-	^ ħ a n n a t - $
3628	PS	entrails	*ḥaŝy-	ħ a ɬ y	(SED I No. 128)	1761	ħaɬy-	^ ħ a ɬ y - $
3629	Akkadian	human lungs, belly, entrails	ḫašû	x a ʃ û	(CAD ḫ 143, AHw 335)	1761	xaʃû	^ x a ʃ û $
3630	Arabic	viscera (any interior part of the body); intestines	ḥišwat­-, ḥašwat-, ḥašaⁿ	ħ i ʃ w a t	(BK 1 435)	1761	ħiʃwat-	^ ħ i ʃ w a t - $
3631	Arabic	stomach	maḥšaⁿ	m a ħ ʃ a	(BK 1 436)	1761	maħʃa	^ m a ħ ʃ a $
3632	PS	fetal membrane	*ḥi(wa)l-	ħ i l	(SED I No. 130)	1762	ħil-	^ ħ i l - $
3633	Akkadian	egg membrane	ḫillu	x i l l u	(CAD ḫ 186, AHw 345)	1762	xillu	^ x i l l u $
3634	Arabic	second membrane that comes out of the uterus at parturition and is filled with water (in camels)	ḥiwalāˀ-, ḥūlāˀ-, ḥīlāˀ-	ħ i w a l aː ʔ	(BK 1 519)	1762	ħiwalaːʔ-	^ ħ i w a l aː ʔ - $
3635	PS	kind of bird of prey	*kVs(Vs)-	k s	(SED II No. 121)	1765	k-s-	^ k - s - $
3636	Akkadian	a falcon	kasūsu, kassūsu	k a s uː s u	(CAD K 256, AHw. 454)	1765	kasuːsu	^ k a s uː s u $
3637	Hebrew	small owl	kōs	k oː s	(HALOT 466)	1765	koːs	^ k oː s $
3638	PS	waist	*ḫam/nṣ-	x a m	(SED I No. 132)	1772	xam	^ x a m $
3639	Akkadian	part of human body, possibly waist	ḫanṣātu	x a n sˤ aː t u	(CAD ḫ 81, AHw 321)	1772	xansˤaːtu	^ x a n sˤ aː t u $
3640	Arabic	middle of the body, slim mid body	ˀaḫmaṣ-	ʔ a x m a sˤ	(BK 1 633)	1772	ʔaxmasˤ-	^ ʔ a x m a sˤ - $
3641	PS	fatty tissue around intestins and stomach	*ḫim/nṣ-	x i m	(SED I No. 133)	1773	xim	^ x i m $
3642	Akkadian	fatty tissue around the intestines	ḫim/nṣu	x i m	(CAD ḫ 192, AHw 346)	1773	xim	^ x i m $
3643	PS	kind of worm, insect	*ḳV(n)ḳVn-	qˤ qˤ n	(SED II No. 132)	1778	qˤ-qˤ-n-	^ qˤ - qˤ - n - $
3644	Akkadian	an insect, a disease	ḳūḳānu	qˤ uː qˤ aː n u	(CAD Q 312; AHw. 928)	1778	qˤuːqˤaːnu	^ qˤ uː qˤ aː n u $
3645	Arabic	a snail	qawqan-	q a w q a n	(Dozy 1927, T. II)	1778	qawqan-	^ q a w q a n - $
3646	Geez	woodworm, moth	ḳʷənḳʷəne	qʷˤ ə n qʷˤ ə n e	(CDG 435, LLA 443)	1778	qˤʷənqˤʷəne	^ qˤʷ ə n qˤʷ ə n e $
3647	PS	forearm, cubit	*kVm(V)d-	k m d	(SED I No. 144)	1779	k-md-	^ k - m d - $
3648	Hebrew	a linear measure, short cubit	gōmäd	g oː m æ d	(HALOT 196)	1779	goːmæd	^ g oː m æ d $
3649	Syriac	cubitus, ulna	garmīdā, gurmīdā	g a r m iː d aː	(LSyr. 133)	1779	garmiːdaː	^ g a r m iː d aː $
3650	Arabic	penis	kumuddat-	k u m u d d a t	(BK 2 929)	1779	kumuddat-	^ k u m u d d a t - $
3651	PS	kind of bird	*kVw-	k w	(SED II No. 123)	1785	k-w-	^ k - w - $
3652	Akkadian	a kind of owl	akkû	a k k û	(CAD A₁ 275, AHw. 29)	1785	akkû	^ a k k û $
3653	PS	crow	*ḳāˁ-	qˤ aː ʕ	(SED II No. 127)	1786	qˤaːʕ-	^ qˤ aː ʕ - $
3654	Syriac	corvus (raven)	ḳāˁā	qˤ aː ʕ aː	(LSyr. 655)	1786	qˤaːʕaː	^ qˤ aː ʕ aː $
3655	Geez	raven, crow	ḳʷāˁ	qʷˤ aː ʕ	(CDG 417, LLA 456)	1786	qˤʷaːʕ	^ qˤʷ aː ʕ $
3656	PS	frog	*ḳVr(V)r-	qˤ r r	(SED II No. 137)	1787	qˤ-rr-	^ qˤ - r r - $
3657	Syriac	rana (frog)	yaḳrūrā	y a qˤ r uː r aː	(LSyr. 308, PS 1627)	1787	yaqˤruːraː	^ y a qˤ r uː r aː $
3658	Arabic	grenouille (frog)	qirr-, qurr-, qarr-at-, qirr-at-, qurr-at-	q i r r	(BK 2 699–700,  LA V 91)	1787	qirr-	^ q i r r - $
3659	Geez	frog	ḳāḳer	qˤ aː qˤ e r	(CDG 439)	1787	qˤaːqˤer	^ qˤ aː qˤ e r $
3660	PS	frog	*ḳaˁḳaˁ-	qˤ a ʕ qˤ a ʕ	(SED II No. 128)	1788	qˤaʕqˤaʕ-	^ qˤ a ʕ qˤ a ʕ - $
3661	PS	kind of insect	*ḳVmḥ-	qˤ m ħ	(SED II No. 129)	1789	qˤ-mħ-	^ qˤ - m ħ - $
3662	Syriac	insectum quoddam (a certain kind of insect)	ḳamḥā	qˤ a m ħ aː	(LSyr. 423, PS 2337)	1789	qˤamħaː	^ qˤ a m ħ aː $
3663	PS	throat	*napa/iš-	n a p a	(SED I No. 200)	1791	napa	^ n a p a $
3664	Akkadian	throat	napištu	n a p i ʃ t u	(CAD N₁ 296, AHw. 738)	1791	napiʃtu	^ n a p i ʃ t u $
3665	Ugaritic	throat	npš	n p ʃ	(Aistleitner 1963: 211)	1791	npʃ	^ n p ʃ $
3666	Hebrew	throat	näpäš	n æ p æ ʃ	(HALOT 711)	1791	næpæʃ	^ n æ p æ ʃ $
3667	Arabic	sip, gulp	nafas-	n a f a s	(BK 2 1310)	1791	nafas-	^ n a f a s - $
3668	PS	to raise, to lift	*nŝˀ	n ɬ ʔ	(AHw. 762, HALOT 724, DUL 2015: 639)	1799	nɬʔ	^ n ɬ ʔ $
3669	Akkadian	carry, lift up	našû	n a ʃ û	(CAD N₂ 79, AHw. 762)	1799	naʃû	^ n a ʃ û $
3670	Ugaritic	to raise, lift, help up; to carry; to wear	nšˀ	n ʃ ʔ	(DUL 639)	1799	nʃʔ	^ n ʃ ʔ $
3671	Hebrew	carry, lift up	nŝˀ	n ɬ ʔ	(HALOT 724)	1799	nɬʔ	^ n ɬ ʔ $
3672	Arabic	to grow up, to become elevated, to occur	nšˀ	n ʃ ʔ	(BK 2 1255, Lane 2791)	1799	nʃʔ	^ n ʃ ʔ $
3673	Geez	to take, to partake, to receive	naŝˀa	n a ɬ ʔ a	(CDG 404)	1799	naɬʔa	^ n a ɬ ʔ a $
3674	Geez	to rise up	tanŝəˀa	t a n ɬ ə ʔ a	(CDG 578)	1799	tanɬəʔa	^ t a n ɬ ə ʔ a $
3675	PS	to split, to separate	*plk	p l k	(EDA I 255)	1802	plk	^ p l k $
3676	Hebrew	to demarcate, to divide off	palāku	p a l aː k u	(CAD P 49, AHw 813)	1802	palaːku	^ p a l aː k u $
3677	Hebrew	district	päläk	p æ l æ k	(HALOT 933)	1802	pælæk	^ p æ l æ k $
3678	Geez	division, dividing	ˀaflāk	ʔ a f l aː k	(CDG 159)	1802	ʔaflaːk	^ ʔ a f l aː k $
3679	PS	to cleave, to split	*plg	p l g	(EDA I 254)	1805	plg	^ p l g $
3680	Ugaritic	to divide, to disintegrate	plg	p l g	(DUL 660)	1805	plg	^ p l g $
3681	Hebrew	(nip.) to be separated; (pi.) to split, to make a furrow	plg	p l g	(HALOT 928)	1805	plg	^ p l g $
3682	Syriac	divisit, partitus est (to be divided)	plg	p l g	(LSyr. 569, SL 1199)	1805	plg	^ p l g $
3683	Arabic	to divide	flǧ	f l g	(Lane 2436)	1805	flg	^ f l g $
3684	PS	to till, to plow, to do agricultural work; to work; to serve (especially a deity), to venerate	*plḥ	p l ħ	(EDA I 236)	1806	plħ	^ p l ħ $
3685	Akkadian	to be afraid; to serve; to venerate	palāḫu	p a l aː x u	(CAD P 37,  AHw 812, 1581)	1806	palaːxu	^ p a l aː x u $
3686	Syriac	laboravit; veneratus est, coluit (deum) (to labor; to venerate, worship (god)	plḥ	p l ħ	(LSyr. 572, SL 1196)	1806	plħ	^ p l ħ $
3687	Arabic	to plow, to cultivate	flḥ	f l ħ	(Lane 2438)	1806	flħ	^ f l ħ $
3688	PS	back, side or front part of body (of a sheep?)	*ka/iska/is-, *kVsˀw-	k a	(SED No. 152)	1811	ka	^ k a $
3689	Akkadian	soft part of the sheep's breastbone; a cut of the meat of a sheep	kaskasu	k a s k a s u	(CAD k 244, AHw 454)	1811	kaskasu	^ k a s k a s u $
3690	Arabic	rear, last part, backside, behind, behind of the head	kusˀ-, kusy-	k u s ʔ	(BK 2 894, WKAS I 168)	1811	kusʔ-	^ k u s ʔ - $
3691	PS	joint (of the ribs, fingers, etc.)	*ki/uṯ̣r-	k i	(SED I No. 155)	1812	ki	^ k i $
3692	Akkadian	joint of the human or animal body	kiṣru	k i sˤ r u	(CAD k 436, AHw 488)	1812	kisˤru	^ k i sˤ r u $
3693	Syriac	articulus	ḳəṭartā	qˤ ə tˤ a r t aː	(LSyr. 662)	1812	qˤətˤartaː	^ qˤ ə tˤ a r t aː $
3694	Arabic	hollow at the top of the chest, between the two collarbones	kuḏ̣r-	k u ðˤ r	(BK 2 905,)	1812	kuðˤr-	^ k u ðˤ r - $
3695	PS	to pierce	*plš	p l ʃ	(EDA I 299)	1819	plʃ	^ p l ʃ $
3696	Akkadian	to pierce, bore, to break through, break into	palāšu	p a l aː ʃ u	(CAD P 58, AHw. 815)	1819	palaːʃu	^ p a l aː ʃ u $
3697	Hebrew	(pi.) to penetrate, to perforate	plš	p l ʃ	(Jastrow 1185)	1819	plʃ	^ p l ʃ $
3698	Syriac	to pierce, break through	plš	p l ʃ	(LSyr. 577, SL 1203)	1819	plʃ	^ p l ʃ $
3699	PS	to be attentive, interested in somebody or something	*pḳd	p qˤ d	(EDA I 180)	1823	pqˤd	^ p qˤ d $
3700	Ugaritic	to command	pḳd	p qˤ d	(DUL 667)	1823	pqˤd	^ p qˤ d $
3701	Hebrew	to deposit; (hip.) to entrust; to appoint; to attend to; to pass in review, to muster; to pass in review; to seek (with interest, desire); to seek in vain, to miss, to lack; to visit	pḳd	p qˤ d	(HALOT 957)	1823	pqˤd	^ p qˤ d $
3702	Syriac	to appoint over; to order, to command; to care for; to enumerate, to examine; to visit	pḳd	p qˤ d	(LSyr. 588, SL 122)	1823	pqˤd	^ p qˤ d $
3703	Syriac	prefect	pāḳodā	p aː qˤ o d aː	(LSyr. 589, SL 1221)	1823	paːqˤodaː	^ p aː qˤ o d aː $
3704	Arabic	to miss, to lose, not to find; V. visiter, examiner une chose, la considérer attentivement, y faire attention, en prendre soin (to visit, examine something, to consider it carefully, to pay attention to it, to take care of it)	fqd	f q d	(Lane 2424, Dozy II 271)	1823	fqd	^ f q d $
3705	Geez	to take care of; to survey, to review; to muster; to number, to enumerate	faḳada	f a qˤ a d a	(CDG 163, LLA 1360)	1823	faqˤada	^ f a qˤ a d a $
3706	PS	to smash, to crack	*prˁ	p r ʕ	(EDA I 226)	1825	prʕ	^ p r ʕ $
3707	Akkadian	to slice, to slit	parāˀu	p a r aː ʔ u	(CAD P 181, AHw 832)	1825	paraːʔu	^ p a r aː ʔ u $
3708	Arabic	to smite one’s head with the stick or sword; to make a separation (between people); IV. to make to bleed	frˁ	f r ʕ	(Lane 2378)	1825	frʕ	^ f r ʕ $
3709	PS	to tear loose, to melt	*pšr	p ʃ r	(EDA I 452)	1827	pʃr	^ p ʃ r $
3710	Hebrew	meaning, explanation	pēšär	p eː ʃ æ r	(HALOT 982)	1827	peːʃær	^ p eː ʃ æ r $
3711	Syriac	to digest, ripen; to liquefy; to interpret	pšr	p ʃ r	(LSyr. 614, SL 1263)	1827	pʃr	^ p ʃ r $
3712	Arabic	to discover, to reveal, to render clear, to explain	fsr	f s r	(Lane 2397)	1827	fsr	^ f s r $
3713	PS	to cut, to pierce, to incise	*prṣ̂	p r ɬˤ	(EDA I 307)	1828	prɬˤ	^ p r ɬˤ $
3714	Akkadian	to break an oath, to transgress, violate a trust	parāṣu	p a r aː sˤ u	(CAD P 178, AHw. 832)	1828	paraːsˤu	^ p a r aː sˤ u $
3715	Ugaritic	breach, opening	prṣ	p r sˤ	(DUL 672)	1828	prsˤ	^ p r sˤ $
3716	Hebrew	to make a split, a breach	prṣ	p r sˤ	(HALOT 972)	1828	prsˤ	^ p r sˤ $
3717	Arabic	to make a notch or incision	frḍ	f r dˤ	(Lane 2373)	1828	frdˤ	^ f r dˤ $
3718	PS	virgin	*batūl-	b a t uː l	(EDA I 508)	1831	batuːl-	^ b a t uː l - $
3719	Akkadian	young man	batūlu	b a t uː l u	(CAD B 174, AHw. 116)	1831	batuːlu	^ b a t uː l u $
3720	Ugaritic	virgin	btlt	b t l t	(DUL 250)	1831	btlt	^ b t l t $
3721	Hebrew	virgin	bətūlā	b ə t uː l aː	(HALOT 166)	1831	bətuːlaː	^ b ə t uː l aː $
3722	Syriac	chaste, modest	btulā	b t u l aː	(LSyr. 99, SL 195)	1831	btulaː	^ b t u l aː $
3723	Syriac	virgin, umarried person; Virgo, name of a constellation	btultā	b t u l t aː	(LSyr. 99, SL 196)	1831	btultaː	^ b t u l t aː $
3724	Arabic	a virgin; a woman that withholds herself from men	batūl-	b a t uː l	(Lane 150)	1831	batuːl-	^ b a t uː l - $
3725	PS	to be early	*bkr	b k r	(EDA I 156)	1832	bkr	^ b k r $
3726	Hebrew	(pi.) to bear firstfruits	bkr	b k r	(HALOT 130)	1832	bkr	^ b k r $
3727	Hebrew	firstfruits	bikkūrīm	b i k k uː r iː m	(HALOT 130)	1832	bikkuːriːm	^ b i k k uː r iː m $
3728	Syriac	to be first	bkr	b k r	(LSyr. 73, SL 126)	1832	bkr	^ b k r $
3729	Syriac	first, earliest (generally said of fruit)	bakkārā	b a k k aː r aː	(LSyr. 73, SL 126)	1832	bakkaːraː	^ b a k k aː r aː $
3730	Arabic	to go forth early in the morning	bkr	b k r	(Lane 239)	1832	bkr	^ b k r $
3731	PS	to trickle, to flow	*bṣ̂ṣ̂	b ɬˤ ɬˤ	(EDA I 420)	1834	bɬˤɬˤ	^ b ɬˤ ɬˤ $
3732	Akkadian	to trickle	baṣāṣu	b a sˤ aː sˤ u	(CAD B 134, AHw. 110)	1834	basˤaːsˤu	^ b a sˤ aː sˤ u $
3733	Hebrew	silt	bōṣ	b oː sˤ	(HALOT 147)	1834	boːsˤ	^ b oː sˤ $
3734	Arabic	to flow by little and little	bḍḍ	b dˤ dˤ	(Lane 213)	1834	bdˤdˤ	^ b dˤ dˤ $
3735	Arabic	little water	baḍaḍ-	b a dˤ a dˤ	(Lane 213)	1834	badˤadˤ-	^ b a dˤ a dˤ - $
3736	Arabic	rain little in quantity	baḍīḍat-	b a dˤ iː dˤ a t	(Lane 213)	1834	badˤiːdˤat-	^ b a dˤ iː dˤ a t - $
3737	Arabic	= rašaḥa 'to leak, to ooze (of water)'	baṣṣa l-māˀu	b a sˤ sˤ a	(TA 17 491)	1834	basˤsˤa	^ b a sˤ sˤ a $
3738	PS	to flash	*brḳ	b r qˤ	(EDA I 250)	1837	brqˤ	^ b r qˤ $
3739	Hebrew	to flash	brḳ	b r qˤ	(HALOT 162)	1837	brqˤ	^ b r qˤ $
3740	Syriac	to shine, to flash	brḳ	b r qˤ	(LSyr. 98, SL 192)	1837	brqˤ	^ b r qˤ $
3741	Arabic	to appear (lightning); to shine, to gleam, to glisten	brq	b r q	(Lane 189)	1837	brq	^ b r q $
3742	Geez	to flash, to scintillate, to shine, to sparkle	baraḳa	b a r a qˤ a	(CDG 106)	1837	baraqˤa	^ b a r a qˤ a $
3743	PS	cypress	*ṯVrmīn-	θ r m iː n	(Kogan–Krebernik 2021b: 682)	1845	θ-rmiːn-	^ θ - r m iː n - $
3744	Akkadian	cypress	šurmēnu	ʃ u r m eː n u	(CAD Š₃ 349; AHw. 1284)	1845	ʃurmeːnu	^ ʃ u r m eː n u $
3745	Syriac	cypress	šurbīnā	ʃ u r b iː n aː	(LSyr. 806)	1845	ʃurbiːnaː	^ ʃ u r b iː n aː $
3746	Syriac	cypress	šarwainā	ʃ a r w a i n aː	(LSyr. 806)	1845	ʃarwainaː	^ ʃ a r w a i n aː $
3747	Arabic	ceder	šurbīn-	ʃ u r b iː n	(BK 1 1211)	1845	ʃurbiːn-	^ ʃ u r b iː n - $
3748	PS	to wish	*ˀrš	ʔ r ʃ	(DUL 104)	1847	ʔrʃ	^ ʔ r ʃ $
3749	Akkadian	to ask, to wish, to desire	erēšu	e r eː ʃ u	(CAD E 281; AHw. 239)	1847	ereːʃu	^ e r eː ʃ u $
3750	Ugaritic	to request, wish, demand, claim	ˀrš	ʔ r ʃ	(DUL 104)	1847	ʔrʃ	^ ʔ r ʃ $
3751	Hebrew	desire	ˀăräšät	ʔ ă r æ ʃ æ t	(HALOT 92)	1847	ʔăræʃæt	^ ʔ ă r æ ʃ æ t $
3752	PS	reed	*ˀaš(a)l-	ʔ a ʃ l	(Kogan–Krebernik 2021b: 683)	1848	ʔaʃl-	^ ʔ a ʃ l - $
3753	PS	to kiss	*nšḳ	n ʃ qˤ	(DUL 640)	1850	nʃqˤ	^ n ʃ qˤ $
3754	Akkadian	to kiss	našāḳu	n a ʃ aː qˤ u	(CAD N₂ 57, AHw. 758)	1850	naʃaːqˤu	^ n a ʃ aː qˤ u $
3755	Ugaritic	to kiss	nšḳ	n ʃ qˤ	(DUL 640)	1850	nʃqˤ	^ n ʃ qˤ $
3756	Hebrew	to kiss	nšḳ	n ʃ qˤ	(HALOT 730)	1850	nʃqˤ	^ n ʃ qˤ $
3757	Syriac	to kiss; to come into contact (of water)	nšḳ	n ʃ qˤ	(LSyr. 451)	1850	nʃqˤ	^ n ʃ qˤ $
3758	PS	occiput, back of the head	*ḳapy-	qˤ a p y	(SED I No. 164)	1851	qˤapy-	^ qˤ a p y - $
3759	Syriac	back side of the cervical	ḳāp(ə)yā	qˤ aː p y aː	(LSyr. 683)	1851	qˤaːpyaː	^ qˤ aː p y aː $
3760	Arabic	behind the neck, nape; back of the head, occiput	qafaⁿ	q a f a	(BK 2 792)	1851	qafa	^ q a f a $
3761	Geez	shoulder blade	ḳaf	qˤ a f	(CDG 423)	1851	qˤaf	^ qˤ a f $
3762	PS	inner part, middle of the body	*ḳVrb-	qˤ r b	(SED I No. 165)	1852	qˤ-rb-	^ qˤ - r b - $
3763	Akkadian	intestines, insides (in the pl.), mind, heart	ḳerbu	qˤ e r b u	(CAD ḳ 216, AHw 914)	1852	qˤerbu	^ qˤ e r b u $
3764	Ugaritic	midsection	ḳrb	qˤ r b	(WUS 282)	1852	qˤrb	^ qˤ r b $
3765	Hebrew	entrails, inward parts	ḳäräb	qˤ æ r æ b	(HALOT 1135)	1852	qˤæræb	^ qˤ æ r æ b $
3766	Arabic	flanks, from the hips to the lower abdomen	qurb-	q u r b	(BK 2 704)	1852	qurb-	^ q u r b - $
3767	PS	be straight	*yšr	y ʃ r	(HALOT 449)	1853	yʃr	^ y ʃ r $
3768	Akkadian	to be in order; to straighten up; to prosper	ešēru	e ʃ eː r u	(CAD E 352; AHw. 254)	1853	eʃeːru	^ e ʃ eː r u $
3769	Ugaritic	uprightness, lawfulness	yšr	y ʃ r	(DUL 973)	1853	yʃr	^ y ʃ r $
3770	Hebrew	be straight, smooth, right	yšr	y ʃ r	(HALOT 449)	1853	yʃr	^ y ʃ r $
3771	Arabic	to be gentle, easy	ysr	y s r	(Lane 2976)	1853	ysr	^ y s r $
3772	PS	yesterday	*ˀamš-ay	ʔ a m ʃ a y	(v. Kogan–Krebernik 2021b: 683)	1855	ʔamʃ-ay	^ ʔ a m ʃ - a y $
3773	Akkadian	yesterday	amšali	a m ʃ a l i	(CAD A₂ 79, AHw 45)	1855	amʃali	^ a m ʃ a l i $
3774	Arabic	yesterday	ˀamsin	ʔ a m s i n	(Lane 99)	1855	ʔamsin	^ ʔ a m s i n $
3775	PS	to split, to cleave	*plḳ	p l qˤ	(EDA I 258)	1860	plqˤ	^ p l qˤ $
3776	PS	to mark, to brand	*wšm	w ʃ m	(v. Kogan–Krebernik 2021b: 683)	1863	wʃm	^ w ʃ m $
3777	Akkadian	a mark	šimtu	ʃ i m t u	(CAD Š₃ 9, AHw. 1238)	1863	ʃimtu	^ ʃ i m t u $
3778	Arabic	to mark, stigmatize, brand	wsm	w s m	(BK 2 1537, Lane 3054)	1863	wsm	^ w s m $
3779	PS	sacred	*ḳdš	qˤ d ʃ	(HALOT 1066)	1864	qˤdʃ	^ qˤ d ʃ $
3780	Akkadian	to make ritually clean, to purify	ḳuddušu	qˤ u d d u ʃ u	(CAD Q 46; AHw. 891)	1864	qˤudduʃu	^ qˤ u d d u ʃ u $
3781	Ugaritic	holy	ḳdš	qˤ d ʃ	(DUL 685)	1864	qˤdʃ	^ qˤ d ʃ $
3782	Hebrew	holy, consecrated	ḳādōš	qˤ aː d oː ʃ	(HALOT 1066)	1864	qˤaːdoːʃ	^ qˤ aː d oː ʃ $
3783	Syriac	(pa.) to sanctify, deem holy	ḳdš	qˤ d ʃ	(LSyr. 649)	1864	qˤdʃ	^ qˤ d ʃ $
3784	Arabic	II. to sanctify, consecrate, purify	qds	q d s	(BK 2 687, Lane 2497)	1864	qds	^ q d s $
3785	Geez	to sanctify, declare holy, perform sacred offices, celebrate Mass	ḳaddasa	qˤ a d d a s a	(CDG 422)	1864	qˤaddasa	^ qˤ a d d a s a $
3786	PS	axe	*paˀš-	p a ʔ ʃ	(EDA I 113)	1865	paʔʃ-	^ p a ʔ ʃ - $
3787	Akkadian	an axe or hatchet	pāšu	p aː ʃ u	(CAD P 267; AHw. 846)	1865	paːʃu	^ p aː ʃ u $
3788	Syriac	axe	pwstˀ	p w s t ʔ	(LSyr. 585)	1865	pwstʔ	^ p w s t ʔ $
3789	Arabic	axe, adze	faˀs-	f a ʔ s	(BK 2 529, Lane 3252)	1865	faʔs-	^ f a ʔ s - $
3790	PS	twenty	*ˁiŝr-ū	ʕ i ɬ r uː	(Hetzron 1977b: 193; Kogan 2015: 143ff.; Kogan–Krebernik 2021b: 684)	1866	ʕiɬr-uː	^ ʕ i ɬ r - uː $
3791	Akkadian	twenty	ešrā	e ʃ r aː	(CAD E 367; AHw. 257)	1866	eʃraː	^ e ʃ r aː $
3792	Ugaritic	twenty	ˁšrm	ʕ ʃ r m	(DUL 186)	1866	ʕʃrm	^ ʕ ʃ r m $
3793	Hebrew	twenty	ˁäŝrīm	ʕ æ ɬ r iː m	(HALOT 895)	1866	ʕæɬriːm	^ ʕ æ ɬ r iː m $
3794	Syriac	twenty	ˁesrīn	ʕ e s r iː n	(LSyr. 537)	1866	ʕesriːn	^ ʕ e s r iː n $
3795	Arabic	twenty	ˁišrūna	ʕ i ʃ r uː n a	(BK 2 261, Lane 2052)	1866	ʕiʃruːna	^ ʕ i ʃ r uː n a $
3796	Geez	twenty	ˁəŝrā	ʕ ə ɬ r aː	(CDG 73)	1866	ʕəɬraː	^ ʕ ə ɬ r aː $
3797	PS	to saw	*wŝr	w ɬ r	(v. Kogan–Krebernik 2021b: 684)	1867	wɬr	^ w ɬ r $
3798	Akkadian	a saw	šaššāru	ʃ a ʃ ʃ aː r u	(CAD Š₂ 174; AHw. 1198)	1867	ʃaʃʃaːru	^ ʃ a ʃ ʃ aː r u $
3799	Hebrew	a saw	maŝŝōr	m a ɬ ɬ oː r	(HALOT 640)	1867	maɬɬoːr	^ m a ɬ ɬ oː r $
3800	Hebrew	to saw, to plane	nsr	n s r	(Jastrow 918)	1867	nsr	^ n s r $
3801	Syriac	to saw	nsr	n s r	(LSyr. 434)	1867	nsr	^ n s r $
3802	Arabic	to saw	wšr	w ʃ r	(BK 2 1541, Lane 2944)	1867	wʃr	^ w ʃ r $
3803	Geez	to saw	waŝara	w a ɬ a r a	(CDG 621)	1867	waɬara	^ w a ɬ a r a $
3804	PS	comb	*muŝṭ-	m u ɬ tˤ	(Kogan–Krebernik 2021b: 685)	1870	muɬtˤ-	^ m u ɬ tˤ - $
3805	Akkadian	comb	mušṭu	m u ʃ tˤ u	(CAD M₂ 290, AHw. 687)	1870	muʃtˤu	^ m u ʃ tˤ u $
3806	Arabic	to comb	mšṭ	m ʃ tˤ	(BK 2 1110, Lane 2717)	1870	mʃtˤ	^ m ʃ tˤ $
3807	PS	to set, lay down	*ŝym	ɬ y m	(HALOT 1321)	1871	ɬym	^ ɬ y m $
3808	Akkadian	to allot power, establish, fix a destiny, ordain the future	šiāmu	ʃ i aː m u	(CAD Š₁ 358, AHw. 1225)	1871	ʃiaːmu	^ ʃ i aː m u $
3809	Hebrew	to lay down, set down, arrange, fix	ŝym	ɬ y m	(HALOT 1321)	1871	ɬym	^ ɬ y m $
3810	Syriac	to place, to set up	sym	s y m	(LSyr. 469)	1871	sym	^ s y m $
3811	Arabic	to hide, to insert one thing into another, to impress	šym	ʃ y m	(BK 1 1300, Lane 1635)	1871	ʃym	^ ʃ y m $
3812	Geez	to set, set in order, put, place, charge, promote, consecrate	ŝema	ɬ e m a	(CDG 539)	1871	ɬema	^ ɬ e m a $
3813	PS	to take (back), grasp, seize, hold	*ˀḫḏ	ʔ x ð	(DUL 35, HALOT 31)	1872	ʔxð	^ ʔ x ð $
3814	Hebrew	to seize, to grasp	ˀḥz	ʔ ħ z	(HALOT 31–32)	1872	ʔħz	^ ʔ ħ z $
3815	Arabic	to take	ˀḫḏ	ʔ x ð	(Lane 28–29)	1872	ʔxð	^ ʔ x ð $
3816	Geez	to take, catch	ˀaḫaza	ʔ a x a z a	(CDG 14, LLA 766–767)	1872	ʔaxaza	^ ʔ a x a z a $
3817	PS	to obstruct	*skr	s k r	(HALOT 755, Kogan–Krebernik 2021b: 686)	1880	skr	^ s k r $
